Question,Answer
Land of Rising Sun?,Japan
Largest planet?,Jupiter
Currency of UK?,Pound Sterling
"""Dark Continent""?",Africa
second highest peak in India,Nanda Devi
"Painter of ""Starry Night""?",Vincent van Gogh
Oxygen chemical symbol?,O
Largest desert?,Sahara Desert
"""Morning Star""?",Venus
Tallest N. America mountain?,Mount Denali
Human breathing gas?,Oxygen
nstrument used to measure bp,Sphygmomanometer
Japan national flower?,Cherry Blossom
largest bone in human,Thighbone
"""Red Planet""?",Mars
"""King of jungle""?",Lion
Cheese ingredient?,Milk
Eiffel Tower country?,France
Largest mammal?,Blue Whale
Rice ingredient?,Rice
"""Romeo and Juliet"" author?",William Shakespeare
Tallest mountain?,Mount Everest
Potato ingredient?,Potato
Russia language?,Russian
"""King of sky""?",Eagle
Taj Mahal country?,India
Germany language?,German
